BrandName,Details,Sizes,MRP,SellPrice,Discount,Category
Juniper,printed mandarin rayon womens peplum top palazzo set - olive,"Size:Large,Medium,Small,X-Large","Rs
2899",1304,55% off,Indianwear-Women
Stop,womens wide leg solid palazzo - rust,Size:Small/Medium,"Rs
799",319,60% off,Indianwear-Women
Ziyaa,printed round neck rayon womens ethnic set - peacock,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
2839",1135,60% off,Indianwear-Women
W,solid round neck poly viscose womens regular dress - black,"Size:8,12,14","Rs
3599",1799,50% off,Indianwear-Women
Janasya,solid crepe round neck womens kurta palazzo set - magenta,"Size:Small,X-Large,X-Small,XX-Large","Rs
2329",815,65% off,Indianwear-Women
Stop,geometric mandarin rayon womens ethnic set - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
2753",1101,60% off,Indianwear-Women
Stop,printed cotton mandarin womens knee length kurta - off white,"Size:S,M,L,X-Large,X-Small,XX-Large,XXX-Large","Rs
799",399,50% off,Indianwear-Women
Yuris,gotta patti round neck cotton womens kurta palazzo set - maroon,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
3999",1399,65% off,Indianwear-Women
Janasya,embroidered rayon blend round neck womens kurta palazzo set - cream,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large","Rs
4798",1439,70% off,Indianwear-Women
Stop,embroidered round neck straight fit womens kurta - purple,"Size:S,M,L,X-Large,X-Small,XX-Large","Rs
799",399,50% off,Indianwear-Women
Haute curry,printed rayon regular fit womens flared sleeve top - natural,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
999",499,50% off,Indianwear-Women
Biba,printed band collar cotton womens kurta palazzo - mint,"Size:32,34,36,38,42","Rs
2999",2099,30% off,Indianwear-Women
Haute curry,solid rayon regular fit womens tunic - mustard,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
799",399,50% off,Indianwear-Women
Stop,solid rayon collar neck womens casual tunic - blue,"Size:XL,Large,Medium,Small,XX-Large","Rs
999",499,50% off,Indianwear-Women
Juniper,printed rayon mandarin womens a line dress - peach,"Size:Large,Medium,Small,X-Large","Rs
2799",979,65% off,Indianwear-Women
Biba,printed v neck cotton womens kurta pants - black,"Size:34,36,38",Nan,3599,No Discount,Indianwear-Women
Stop,embroidered round neck straight fit womens kurta - maroon,"Size:S,M,L,X-Large,X-Small,XX-Large","Rs
799",399,50% off,Indianwear-Women
Biba,printed round neck polyester womens kurta pants set - yellow,"Size:32,34,36,38,42","Rs
3999",2799,30% off,Indianwear-Women
Myshka,printed round neck womens kurti - green,",Medium,Small,X-Large,XX-Large","Rs
5999",1199,80% off,Indianwear-Women
Stop,printed mandarin collar straight fit womens kurta - rust,"Size:S,M,L,X-Large,X-Small,XX-Large","Rs
799",399,50% off,Indianwear-Women
Stop,boat neck womens kurta - pink,"Size:S,M,L,X-Large,X-Small,XX-Large","Rs
1199",479,60% off,Indianwear-Women
Varanga,embroidered silk blend round neck womens ethnic set - blue,"Size:X-Large,XX-Large",Nan,1979,No Discount,Indianwear-Women
Myshka,printed rayon v neck womens dress - green,",Medium,Small,X-Large,XX-Large","Rs
3999",799,80% off,Indianwear-Women
Ziyaa,solid round neck crepe womens ethnic set - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
2302",805,65% off,Indianwear-Women
Myshka,printed cotton square neck womens dress - multi,"Size:Large,Medium,Small","Rs
2999",899,70% off,Indianwear-Women
Indya,embroidered georgette tie up neck� womens kurta - pink,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2950",1475,50% off,Indianwear-Women
Haute curry,embroidered rayon womens calf length palazzos - natural,"Size:Large,Medium,Small,X-Large","Rs
999",499,50% off,Indianwear-Women
Stop,printed mandarin collar straight fit womens kurta - purple,"Size:S,M,L,XL,X-Small,XXX-Large","Rs
799",399,50% off,Indianwear-Women
Indya,shraddha kapoor for indya green chevron mirror crop top - green,"Size:Small,X-Small","Rs
1800",900,50% off,Indianwear-Women
Kashish,embroidered viscose blend round neck womens ethnic set - sea blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Nan,3499,No Discount,Indianwear-Women
Yuris,gotta patti round neck cotton womens kurta palazzo set - red,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
3499",1399,60% off,Indianwear-Women
Juniper,printed silk round neck womens salwar kurta dupatta set - red,"Size:Medium,Small","Rs
4799",1919,60% off,Indianwear-Women
Juniper,floral round neck rayon womens kurta palazzo dupatta set - grey,Size:Small,"Rs
3299",1484,55% off,Indianwear-Women
Biba,printed round neck straight fit womens kurta - green,"Size:32,34,36,38,40,42","Rs
2599",1559,40% off,Indianwear-Women
Ziyaa,floral boat neck polyester womens ethnic set - pink,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
2583",904,65% off,Indianwear-Women
Haute curry,round neck rayon regular womens dress - teal,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1499",749,50% off,Indianwear-Women
W,printed polyester regular fit womens dress - pink,"Size:6,8,10,12,14,16,18",Nan,4999,No Discount,Indianwear-Women
Stop,printed rayon mandarin womens knee length kurta - pista green,"Size:S,M,L,X-Large,X-Small,XX-Large,XXX-Large","Rs
799",559,30% off,Indianwear-Women
Haute curry,solid round neck regular womens tunics & tops - peach,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
499",249,50% off,Indianwear-Women
Biba,yarndyed band collar cotton womens kurta pants - navy,"Size:32,34,36,38,40,42","Rs
3599",2519,30% off,Indianwear-Women
Stop,solid cotton full length womens pants - maroon,"Size:Large/X-Large,Small/Medium,XX-Large/XXX-Large",Nan,599,No Discount,Indianwear-Women
Ziyaa,floral round neck crepe womens salwar kurta and dupatta set - cream,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
3903",1561,60% off,Indianwear-Women
Myshka,printed rayon round neck womens regular kurta - green,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1999",399,80% off,Indianwear-Women
Stop,solid rayon round neck womens calf length kurta - peach,"Size:XL,Large,Medium,Small,X-Small,XX-Large","Rs
999",399,60% off,Indianwear-Women
Kashish,solid v neck a-line fit womens kurta - maroon,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1799",899,50% off,Indianwear-Women
Yuris,paisley cotton round neck womens salwar suit - multi,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
4299",1504,65% off,Indianwear-Women
Juniper,solid silk round neck womens straight kurta - dark grey,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1499",599,60% off,Indianwear-Women
Myshka,printed cotton round neck womens kurta palazzo set - navy,"Size:Medium,Small","Rs
2999",749,75% off,Indianwear-Women
Haute curry,full length cotton woven womens pants - blue,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1199",599,50% off,Indianwear-Women
Juniper,womens ivory shantoon placement foil print lehenga choli set with satin lining & cancan - ivory,"Size:Medium,Small,X-Large,XX-Large","Rs
5048",2524,50% off,Indianwear-Women
Varanga,bottle green and gold zari and sequins work yoke kurta with gota work sleeves - blue,Size:X-Large,"Rs
2199",769,65% off,Indianwear-Women
Juniper,embroidered rayon round neck womens straight kurta - green,"Size:Large,Medium,Small,X-Large","Rs
2299",689,70% off,Indianwear-Women
Haute curry,printed round neck regular womens jacket - natural,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1299",649,50% off,Indianwear-Women
Haute curry,round neck cotton slub regular womens dress - mint,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1499",749,50% off,Indianwear-Women
Juniper,printed rayon mandarin womens flared dress - indigo,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
2999",1349,55% off,Indianwear-Women
Varanga,key hole neck womens kurta - black,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1799",719,60% off,Indianwear-Women
Stop,solid flex womens full length palazzos - blue,"Size:Large/X-Large,Small/Medium,XX-Large/XXX-Large","Rs
799",319,60% off,Indianwear-Women
Stop,printed rayon round neck womens straight kurta - mauve,"Size:S,M,X-Small","Rs
999",499,50% off,Indianwear-Women
Infuse,solid viscose blend mandarin neck womens a-line kurta - sage,"Size:Large,Medium,Small,X-Large,X-Small","Rs
999",499,50% off,Indianwear-Women
Infuse,fitted full length cotton lycra womens leggings - white,"Size:Medium,Small,X-Small","Rs
499",249,50% off,Indianwear-Women
Indya,embroidered chiffon round neck womens kurta - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
2900",2320,20% off,Indianwear-Women
Stop,solid cotton lycra womens full length palazzos - grey,"Size:Large/X-Large,Small/Medium,XX-Large/XXX-Large","Rs
999",399,60% off,Indianwear-Women
Kashish,embroidered v neck straight fit womens kurta - magenta,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
2999",1499,50% off,Indianwear-Women
Kashish,embroidered round neck viscose blend womens festive set - olive,"Size:Medium,Small,X-Small","Rs
3499",1749,50% off,Indianwear-Women
Ziyaa,printed round neck crepe womens ethnic set - pink,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
2511",878,65% off,Indianwear-Women
Infuse,printed rayon round neck womens shirt top - mustard,"Size:Large,Medium,Small,X-Large,X-Small","Rs
699",349,50% off,Indianwear-Women
Juniper,printed silk round neck womens salwar kurta dupatta set - black,"Size:Medium,Small","Rs
4799",1919,60% off,Indianwear-Women
W,solid viscose round neck womens calf length kurta - orange,"Size:6,10","Rs
1799",899,50% off,Indianwear-Women
Juniper,embroidered rayon round neck womens a-line dress - olive,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
2299",804,65% off,Indianwear-Women
Myshka,solid cotton mandarin womens regular kurta - pink,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1599",479,70% off,Indianwear-Women
Infuse,printed shirt collar cotton yarn dyed womens gather dress - sea green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1199",599,50% off,Indianwear-Women
Aurelia,cotton round neck womens kurta set - purple,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1999",1399,30% off,Indianwear-Women
Biba,cotton tired womens dresses - mustard,"Size:32,34,36,38,40,42",Nan,4595,No Discount,Indianwear-Women
Biba,jacquard cotton mandarin womens ethnic set - off white,"Size:32,34,36,38,42","Rs
2999",1799,40% off,Indianwear-Women
Infuse,printed cotton mandarin neck womens straight fit kurta - blush,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
999",399,60% off,Indianwear-Women
Stop,boat neck womens kurta - off white,"Size:S,M,L,X-Large,X-Small,XX-Large","Rs
1199",479,60% off,Indianwear-Women
Kashish,embroidered viscose blend round neck womens flared festive set - blue,"Size:Large,Small,X-Large,X-Small,XX-Large","Rs
3499",1749,50% off,Indianwear-Women
Yuris,motif cotton round neck womens salwar suit - multi,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
4299",1504,65% off,Indianwear-Women
Ziyaa,geometric round neck rayon womens salwar kurta and dupatta set - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
4020",1608,60% off,Indianwear-Women
Kashish,embroidered round neck straight fit womens kurta - peach,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large","Rs
1599",799,50% off,Indianwear-Women
Juniper,solid rayon womens regular length flared palazzo - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1299",649,50% off,Indianwear-Women
Stop,rayon womens 3/4th sleeves kurta - lime green,"Size:S,M,L,XL,X-Small,XX-Large",Nan,1199,No Discount,Indianwear-Women
Myshka,printed cotton round neck womens regular kurta - pink,"Size:Medium,Small,X-Large,XX-Large","Rs
1299",584,55% off,Indianwear-Women
Biba,solid embroidered poly viscose round neck womens palazzo kurta dupatta set - black,"Size:34,36,38","Rs
4595",2757,40% off,Indianwear-Women
Stop,fitted full length cotton lycra womens leggings - white,"Size:S,M,L,X-Large,X-Small","Rs
499",349,30% off,Indianwear-Women
Aurelia,band with v cotton womens knee length kurta - natural,"Size:Large,Medium,Small,X-Small","Rs
999",499,50% off,Indianwear-Women
Biba,printed cotton round neck womens kurta palazzo set - black,"Size:32,34,36,38,42","Rs
2799",1679,40% off,Indianwear-Women
Myshka,printed viscose round neck womens top - pink,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1299",454,65% off,Indianwear-Women
Stop,printed rayon mandarin womens straight kurta - coral,"Size:S,M,L,X-Large,X-Small,XX-Large,XXX-Large","Rs
799",559,30% off,Indianwear-Women
Varanga,mandarin straight designer womens kurtas - mustard,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
3599",1079,70% off,Indianwear-Women
Biba,printed round neck straight fit womens kurti - peach,Size:34,"Rs
1499",749,50% off,Indianwear-Women
Aurelia,yarn dyed viscose v neck womens straight kurta - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1499",1049,30% off,Indianwear-Women
Myshka,solid silk blend round neck womens gown - navy,",Medium,Small,X-Large,XX-Large","Rs
5499",1099,80% off,Indianwear-Women
Yuris,paisley cotton round neck womens salwar suit - multi,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
3499",1399,60% off,Indianwear-Women
Infuse,solid chanderi womens ankle length palazzo - peach,"Size:2XL/3XL,Large/X-Large,Small/Medium","Rs
999",499,50% off,Indianwear-Women
Ziyaa,floral round neck crepe womens ethnic set - navy,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
1868",747,60% off,Indianwear-Women
Stop,solid rayon round neck womens calf length kurta - fuschia,"Size:XL,Large,Medium,Small,X-Small,XX-Large","Rs
999",399,60% off,Indianwear-Women
Juniper,floral v-neck womens flared anarkali dresses & dupatta set - yellow,Size:XX-Large,"Rs
4899",1469,70% off,Indianwear-Women
Indya,embroidered georgette round neck womens kurta - grey,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2400",1200,50% off,Indianwear-Women
Aurelia,dyed cotton round neck womens straight kurta - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
999",699,30% off,Indianwear-Women
Yuris,lace round neck cotton womens kurta palazzo set - blue,"Size:Large,Small,X-Large,XX-Large","Rs
3499",1399,60% off,Indianwear-Women
Infuse,printed rayon mandarin neck womens straight fit kurta - grey,"Size:Large,Medium,Small,X-Small","Rs
799",319,60% off,Indianwear-Women
Stop,embro calf length casual wear kurta - blue,"Size:S,M,L,X-Large,X-Small,XX-Large",Nan,1299,No Discount,Indianwear-Women
Myshka,printed cotton round neck womens kurta palazzo set - grey,"Size:Medium,Small","Rs
3999",799,80% off,Indianwear-Women
Juniper,floral rayon v-neck womens flared dress - olive,"Size:Large,Medium,Small,X-Large","Rs
2699",944,65% off,Indianwear-Women
Stop,rayon womens 3/4th sleeves kurta - green,"Size:S,M,L,XL,X-Small,XX-Large","Rs
1199",479,60% off,Indianwear-Women
Stop,solid straight fit polyester womens casual wear palazzo - gold,"Size:Large/X-Large,Small/Medium,XX-Large/XXX-Large","Rs
899",359,60% off,Indianwear-Women
Juniper,embroidered rayon round neck womens straight top - blue,"Size:Medium,X-Small","Rs
2098",524,75% off,Indianwear-Women
Yuris,gotta patti round neck cotton womens kurta palazzo set - yellow,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
3999",1599,60% off,Indianwear-Women
Janasya,embellished silk round neck womens kurta palazzo set - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large","Rs
2499",874,65% off,Indianwear-Women
Juniper,solid rayon womens flared palazzo pants - black,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1699",764,55% off,Indianwear-Women
Biba,printed cotton collar neck womens salwar kurta dupatta set - orange,"Size:32,34,36,38,40,42","Rs
2799",1679,40% off,Indianwear-Women
Infuse,printed v neck regular fit womens tunic - green,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1799",899,50% off,Indianwear-Women
Biba,printed boat neck straight fit womens kurta - off white,"Size:34,38,42","Rs
999",499,50% off,Indianwear-Women
Ziyaa,printed round neck polyester womens ethnic set - grey,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
1837",826,55% off,Indianwear-Women
Stop,printed mandarin collar straight fit womens kurta - teal,"Size:S,M,L,X-Large,X-Small,XX-Large,XXX-Large","Rs
799",399,50% off,Indianwear-Women
Indya,shraddha kapoor for indya rose pink chikankari belted peplum sari - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
3800",3040,20% off,Indianwear-Women
Haute curry,printed rayon womens bottom pants - black,"Size:Large,Medium,Small,X-Large","Rs
999",499,50% off,Indianwear-Women
Haute curry,solid rayon regular fit womens gather top - pink,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
999",499,50% off,Indianwear-Women
Haute curry,full length cotton woven womens pants - fuchsia,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1199",599,50% off,Indianwear-Women
Juniper,printed georgette round neck womens kurta palazzo set - black,"Size:Large,Medium,Small,X-Large","Rs
3499",1574,55% off,Indianwear-Women
Indya,shraddha kapoor for indya teal floral sequins crop top - green,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1500",1200,20% off,Indianwear-Women
Haute curry,womens regular fit printed tunic - yellow,"Size:X-Small,XX-Large","Rs
999",499,50% off,Indianwear-Women
Infuse,printed cotton mandarin neck womens a-line kurta - black,"Size:Medium,Small,X-Small","Rs
999",399,60% off,Indianwear-Women
Yuris,solid regular fit cotton womens western trousers - mustard,"Size:28,30,32,34,36,38","Rs
1699",594,65% off,Indianwear-Women
Kashish,embroidered mandarian collar a-line fit womens kurta - magenta,"Size:Large,Medium,Small,X-Small","Rs
1999",999,50% off,Indianwear-Women
Varanga,printed cotton round neck womens regular fit kurta - yellow,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
2799",979,65% off,Indianwear-Women
Kashish,mandarian collar ghadwal womens a-line kurta and pants set - yellow,Size:XX-Large,"Rs
2799",1399,50% off,Indianwear-Women
Yuris,geometric cotton mandarin womens regular kurta - multi,"Size:Large,Small,XX-Large","Rs
1499",599,60% off,Indianwear-Women
Indya,printed v neck georgette womens regular dress - maroon,"Size:Medium,Small",Nan,2400,No Discount,Indianwear-Women
Haute curry,round neck rayon regular womens dress - fuchsia,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1499",749,50% off,Indianwear-Women
Juniper,womens gold rayon gold foil print flared palazzo - gold,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1699",849,50% off,Indianwear-Women
Global desi,floral cotton round neck womens straight kurta - pink,"Size:Medium,Small,X-Small","Rs
2399",1199,50% off,Indianwear-Women
W,solid rayon blend round neck womens straight kurta - blue,"Size:6,8,10,12,14,16,18",Nan,1999,No Discount,Indianwear-Women
Yuris,ethnic motifs cotton round neck womens kurta set - pink,"Size:Large,Small,X-Large,XX-Large,XXX-Large","Rs
3999",1399,65% off,Indianwear-Women
Haute curry,printed rayon round neck womens tunic - blue,"Size:Large,Medium,Small,X-Large,X-Small",Nan,999,No Discount,Indianwear-Women
Ira soleil,embellished chiffon womens full length palazzo - white,"Size:Large,Medium,Small,X-Large",Nan,1399,No Discount,Indianwear-Women
Aurelia,yarn dyed band with v straight womens kurta - yellow,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
999",499,50% off,Indianwear-Women
Haute curry,printed round neck rayon womens flared dress - blue,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1499",749,50% off,Indianwear-Women
Juniper,solid cotton flex mandarin womens a-line kurta - green,"Size:Large,Medium,Small,X-Large","Rs
1699",849,50% off,Indianwear-Women
Haute curry,embroidered denim regular fit womens denim top - light blue,"Size:Large,Small,X-Large,X-Small,XX-Large","Rs
1299",649,50% off,Indianwear-Women
Juniper,embroidered cotton mandarin womens a line tunic - grey,Size:Large,"Rs
1699",764,55% off,Indianwear-Women
Biba,printed v neck straight fit womens kurti - navy,Size:32,"Rs
1299",649,50% off,Indianwear-Women
Janasya,womens mustard poly crepe kurta (jne3385) - yellow,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1299",454,65% off,Indianwear-Women
Jack and jones,leather regular lace up mens sneakers - orange,"Size:40,41,42,43,44,45","Rs
2499",1499,40% off,Indianwear-Women
Juniper,solid cotton mandarin womens a line dress - sky blue,"Size:Large,X-Large","Rs
5999",1799,70% off,Indianwear-Women
Stop,embroidered round neck straight fit womens kurta - grey,"Size:S,M,L,X-Large,X-Small,XX-Large","Rs
799",399,50% off,Indianwear-Women
Indya,shraddha kapoor for indya mirror embroidered high slit kurta - yellow,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2400",1200,50% off,Indianwear-Women
Infuse,printed cotton mandarin neck womens straight fit kurta - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
799",319,60% off,Indianwear-Women
Aurelia,yarn dyed round neck a-line womens kurta - blue,"Size:X-Large,XX-Large","Rs
2499",1249,50% off,Indianwear-Women
Juniper,floral round neck rayon womens a-line dress - navy,"Size:Large,Small,X-Large,X-Small","Rs
2499",999,60% off,Indianwear-Women
Janasya,embroidered rayon blend mandarin womens slub top - cream,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large","Rs
2179",871,60% off,Indianwear-Women
Kashish,embroidered round neck viscose blend womens festive set - yellow,"Size:Small,X-Small,XX-Large","Rs
3499",1749,50% off,Indianwear-Women
Juniper,printed cotton mandarin womens a line tunic - yellow,"Size:Large,Medium,Small,X-Large","Rs
1299",909,30% off,Indianwear-Women
Haute curry,embroidered rayon crepe round neck womens regular tunic - maroon,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1199",599,50% off,Indianwear-Women
Varanga,embellished v-neck cotton womens flared kurta - maroon,"Size:Large,Medium,Small,X-Small","Rs
6999",2449,65% off,Indianwear-Women
Biba,printed v neck cotton womens kurta palazzo - rust,"Size:32,34,36,38,40,42","Rs
3599",2519,30% off,Indianwear-Women
Juniper,womens black chanderi emboss print flared 2 piece kurta with poly cotton lining - black,"Size:Large,Medium,Small,X-Large,X-Small","Rs
2899",1304,55% off,Indianwear-Women
Myshka,solid cotton v neck womens kurta palazzo set - black,",Medium,Small,X-Large,XX-Large","Rs
3999",999,75% off,Indianwear-Women
Indya,shraddha kapoor for indya blush polka foil skirt with attached dupatta - pink,Size:Small,"Rs
3600",1800,50% off,Indianwear-Women
Biba,printed round neck cotton womens kurta skirt set - mint,"Size:32,34,36,38","Rs
6995",4896,30% off,Indianwear-Women
Stop,printed cotton mandarin womens knee length kurta - vintage blue,"Size:S,M,L,X-Large,X-Small,XX-Large,XXX-Large","Rs
799",399,50% off,Indianwear-Women
Biba,printed band collar straight fit womens kurta - carbon,Size:32,"Rs
1999",1599,20% off,Indianwear-Women
Juniper,solid rayon regular fit womens casual pants - black,"Size:Large,Medium,X-Small","Rs
1049",786,25% off,Indianwear-Women
Juniper,embroidered rayon round neck womens peplum top - mustard,"Size:Medium,Small,XX-Large","Rs
2499",749,70% off,Indianwear-Women
Juniper,embroidered rayon round neck womens flared dress - yellow,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
3399",1359,60% off,Indianwear-Women
Infuse,solid rayon womens full length palazzos - lime green,"Size:Large/X-Large,Small/Medium,XXL/XXXL","Rs
799",319,60% off,Indianwear-Women
Kashish,embroidered viscose blend round neck womens ethnic set - mint,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large",Nan,3499,No Discount,Indianwear-Women
Zink london,printed polyester womens ankle length palazzo - rust,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1999",1199,40% off,Indianwear-Women
Janasya,embroidered rayon round neck womens slub top - natural,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large,XXX-Large","Rs
2179",871,60% off,Indianwear-Women
Biba,printed round neck cotton womens kurta churidar set - indigo,"Size:32,34,36,38,40,42","Rs
4995",3496,30% off,Indianwear-Women
Stop,embroidered rayon round neck womens regular tunic - sage,"Size:XL,Large,Medium,Small,XX-Large","Rs
1299",649,50% off,Indianwear-Women
Global desi,womens round neck printed tunic - blue,"Size:XL,Large,Medium,Small,X-Small","Rs
1799",539,70% off,Indianwear-Women
Stop,printed v neck straight fit womens kurta - pink,"Size:S,M,L,XL,X-Small,XX-Large","Rs
1299",649,50% off,Indianwear-Women
Juniper,embroidered cotton round neck womens salwar kurta dupatta set - yellow,"Size:Large,Medium,Small,X-Large","Rs
7299",2189,70% off,Indianwear-Women
Sanaa,printed cotton mandarin womens mid thigh length kurti - blue,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1049",734,30% off,Indianwear-Women
Biba,printed round neck womens kurta - red,"Size:32,34,36,38,40,42",Nan,1599,No Discount,Indianwear-Women
Biba,printed cotton v-neck womens salwar kurta dupatta set - indigo,"Size:32,34,36,38,40,42","Rs
2799",2239,20% off,Indianwear-Women
Yuris,embroidered cotton mandarin womens kurta set - yellow,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
3999",1399,65% off,Indianwear-Women
Stop,printed mandarin collar straight fit womens kurta - grey,"Size:S,X-Small,XXX-Large","Rs
799",399,50% off,Indianwear-Women
Stop,embroidered rayon round neck womens regular tunic - teal,"Size:XL,Large,Medium,Small,XX-Large","Rs
1499",749,50% off,Indianwear-Women
Juniper,printed rayon round neck womens flared dress - natural,"Size:Large,Medium,Small,X-Large","Rs
4099",1434,65% off,Indianwear-Women
Juniper,printed cotton mandarin womens ethnic set - yellow,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
2299",1034,55% off,Indianwear-Women
Myshka,solid cotton round neck womens kurta palazzo set - red,",Medium,X-Large,XX-Large","Rs
5999",1199,80% off,Indianwear-Women
Ziyaa,printed mandarin crepe womens ethnic set - black,"Size:Large,Medium,Small,X-Large,XX-Large,XXX-Large","Rs
2197",878,60% off,Indianwear-Women
Infuse,solid rayon womens full length palazzos - rust,"Size:Large/X-Large,Small/Medium,XXL/XXXL","Rs
799",319,60% off,Indianwear-Women
Infuse,printed rayon round neck womens a-line kurta - navy,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1299",649,50% off,Indianwear-Women
Juniper,floral round neck rayon womens kurta palazzo dupatta set - indigo,"Size:Large,Small,X-Large","Rs
3299",1484,55% off,Indianwear-Women
Juniper,ethnic motifs mandarin collar straight fit womens kurta dupatta set - wine,"Size:Large,Medium,Small,X-Large,X-Small","Rs
1899",949,50% off,Indianwear-Women
Biba,womens black cotton flax kurta - black,Size:32,"Rs
1999",999,50% off,Indianwear-Women
Myshka,solid cotton regular fit womens casual trousers - white,"Size:Large,Medium,Small,X-Large,XX-Large","Rs
1099",439,60% off,Indianwear-Women
Kashish,embroidered open a-line fit womens kurta - rose,"Size:Large,Medium,Small,X-Large","Rs
1699",849,50% off,Indianwear-Women
Biba,printed round neck rayon womens kurta pants - sea green,"Size:32,34,36,38,42","Rs
2999",1799,40% off,Indianwear-Women
Stop,printed mandarin collar straight fit womens kurta - blue,"Size:S,M,L,X-Small","Rs
799",399,50% off,Indianwear-Women
Janasya,gold print round neck regular fit womens kurta - peacock,"Size:Large,Small,X-Large,X-Small,XX-Large,XXX-Large","Rs
1459",510,65% off,Indianwear-Women
Haute curry,round neck rayon regular womens dress - purple,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1499",749,50% off,Indianwear-Women
Juniper,womens white cotton voile embroidered straight kurta - white,"Size:Small,X-Large,X-Small,XX-Large","Rs
1699",1019,40% off,Indianwear-Women
Kami kubi,stripes cotton v neck womens flared dress - peach,"Size:Large,Medium,Small,X-Large,X-Small,XX-Large","Rs
1999",799,60% off,Indianwear-Women
